image,distortion,level,param,snr_db,stage,edge_iou,corner_ratio,orb_match_ratio,line_iou,line_count_ratio,det_precision,det_recall,det_f1,det_per_class
0a07abbf-5eeee19d.jpg,motion_blur,1,9.0,28.712470840651484,restored,0.7344905778937375,1.0,0.632,0.6272218757910464,0.6212624584717608,0.75,0.2608695652173913,0.3870967741935483,"{'traffic light': {'tp': 0, 'fp': 1, 'fn': 10, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 4, 'fp': 1, 'fn': 6, 'precision': 0.8, 'recall': 0.4, 'f1': 0.5333333333333333}, 'truck': {'tp': 1, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.5, 'f1': 0.6666666666666666}, 'bus': {'tp': 1, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}"
0a07abbf-5eeee19d.jpg,motion_blur,2,15.0,25.48220434805326,restored,0.5159126806786044,1.0,0.4,0.3821490467937608,0.2518272425249169,0.8333333333333334,0.217391304347826,0.3448275862068966,"{'traffic light': {'tp': 0, 'fp': 1, 'fn': 10, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 3, 'fp': 0, 'fn': 7, 'precision': 1.0, 'recall': 0.3, 'f1': 0.4615384615384615}, 'truck': {'tp': 1, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.5, 'f1': 0.6666666666666666}, 'bus': {'tp': 1, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}"
0a07abbf-5eeee19d.jpg,motion_blur,3,21.0,24.04673684185681,restored,0.3727118471510503,1.0,0.288,0.2774910053040887,0.1514950166112957,0.8333333333333334,0.217391304347826,0.3448275862068966,"{'traffic light': {'tp': 0, 'fp': 1, 'fn': 10, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 3, 'fp': 0, 'fn': 7, 'precision': 1.0, 'recall': 0.3, 'f1': 0.4615384615384615}, 'truck': {'tp': 1, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.5, 'f1': 0.6666666666666666}, 'bus': {'tp': 1, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}"
0a07abbf-5eeee19d.jpg,motion_blur,4,31.0,22.52928721384309,restored,0.2193162915436059,1.0,0.172,0.211014642915101,0.1023255813953488,0.75,0.1304347826086956,0.2222222222222221,"{'traffic light': {'tp': 0, 'fp': 0, 'fn': 10, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'bus': {'tp': 1, 'fp': 1, 'fn': 0, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666}, 'car': {'tp': 2, 'fp': 0, 'fn': 8, 'precision': 1.0, 'recall': 0.2, 'f1': 0.33333333333333337}, 'truck': {'tp': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-27d9fc44.jpg,motion_blur,0,5.0,34.33441830283944,restored,0.7781375538087925,1.0,0.778,0.5738266836346428,0.9218241042345277,0.0,0.0,0.0,"{'airplane': {'tp': 0, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'suitcase': {'tp': 0, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 5, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-27d9fc44.jpg,motion_blur,1,9.0,29.20504005691347,restored,0.5883678136035829,1.0,0.624,0.5022467413674823,0.9413680781758956,0.0,0.0,0.0,"{'suitcase': {'tp': 0, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 4, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-27d9fc44.jpg,motion_blur,2,15.0,26.23251871226362,restored,0.3878142616687595,1.0,0.382,0.3409175573831561,0.5244299674267101,0.0,0.0,0.0,"{'car': {'tp': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-27d9fc44.jpg,motion_blur,3,21.0,23.564415305131227,restored,0.2799417692271734,1.0,0.278,0.2284577595957436,0.4690553745928338,0.0,0.0,0.0,"{'car': {'tp': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-27d9fc44.jpg,motion_blur,4,31.0,20.58977727773097,restored,0.187934173910056,1.0,0.088,0.1753712388805538,0.3648208469055374,0.0,0.0,0.0,"{'car': {'tp': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-7c39d841.jpg,motion_blur,0,5.0,40.16367939753762,restored,0.8413181696068774,1.0,0.806,0.6792441559475927,0.9891891891891892,0.4,0.2857142857142857,0.3333333333333333,"{'car': {'tp': 2, 'fp': 1, 'fn': 4, 'precision': 0.6666666666666666, 'recall': 0.3333333333333333, 'f1': 0.4444444444444444}, 'truck': {'tp': 0, 'fp': 2, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-7c39d841.jpg,motion_blur,1,9.0,35.63278112853332,restored,0.7281211635306792,1.0,0.66,0.6030222504263674,0.8,0.5,0.4285714285714285,0.4615384615384615,"{'car': {'tp': 3, 'fp': 1, 'fn': 3, 'precision': 0.75, 'recall': 0.5, 'f1': 0.6}, 'truck': {'tp': 0, 'fp': 2, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-7c39d841.jpg,motion_blur,2,15.0,32.08981944179939,restored,0.6164117041162782,1.0,0.41,0.5654107086942908,0.6378378378378379,0.4285714285714285,0.4285714285714285,0.4285714285714285,"{'car': {'tp': 3, 'fp': 2, 'fn': 3, 'precision': 0.6, 'recall': 0.5, 'f1': 0.5454545454545454}, 'truck': {'tp': 0, 'fp': 2, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-7c39d841.jpg,motion_blur,3,21.0,29.945287202931,restored,0.5028457103091759,1.0,0.376,0.4697015141986357,0.518918918918919,0.5,0.4285714285714285,0.4615384615384615,"{'car': {'tp': 3, 'fp': 2, 'fn': 3, 'precision': 0.6, 'recall': 0.5, 'f1': 0.5454545454545454}, 'truck': {'tp': 0, 'fp': 1, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0a0b1a-7c39d841.jpg,motion_blur,4,31.0,27.51488107263704,restored,0.3199504065930059,1.0,0.21,0.3497562853949679,0.3513513513513513,0.5,0.1428571428571428,0.2222222222222222,"{'car': {'tp': 1, 'fp': 1, 'fn': 5, 'precision': 0.5, 'recall': 0.16666666666666666, 'f1': 0.25}, 'truck': {'tp': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0c3694-24b5193a.jpg,motion_blur,0,5.0,36.73542340015042,restored,0.867152146853879,1.0,0.82,0.6255370771118623,0.8997613365155132,0.5555555555555556,0.3333333333333333,0.4166666666666667,"{'traffic light': {'tp': 0, 'fp': 0, 'fn': 3, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 5, 'fp': 3, 'fn': 7, 'precision': 0.625, 'recall': 0.4166666666666667, 'f1': 0.5}, 'person': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
0a0c3694-24b5193a.jpg,motion_blur,1,9.0,31.614745558131467,restored,0.7073554178849766,1.0,0.636,0.5438625344777372,0.7028639618138425,0.6,0.2,0.3,"{'traffic light': {'tp': 0, 'fp': 0, 'fn': 3, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 3, 'fp': 1, 'fn': 9, 'precision': 0.75, 'recall': 0.25, 'f1': 0.375}, 'person': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
