image,distortion,level,param,snr_db,model,precision,recall,f1
00dc5030-237e7f71.jpg,lowlight,4,-0.9,9.454006119570346,baseline,0.0,0.0,0.0
00dc5030-237e7f71.jpg,lowlight,4,-0.9,9.454006119570346,finetuned,0.0,0.0,0.0
00dc5030-237e7f71.jpg,motion_blur,0,5.0,30.88353704477911,baseline,1.0,0.6666666666666666,0.8
00dc5030-237e7f71.jpg,motion_blur,0,5.0,30.88353704477911,finetuned,0.5,0.3333333333333333,0.4
00dc5030-237e7f71.jpg,motion_blur,1,9.0,27.70527325817318,baseline,1.0,0.3333333333333333,0.5
00dc5030-237e7f71.jpg,motion_blur,1,9.0,27.70527325817318,finetuned,0.5,0.3333333333333333,0.4
00dc5030-237e7f71.jpg,motion_blur,2,15.0,25.731264668762496,baseline,1.0,0.3333333333333333,0.5
00dc5030-237e7f71.jpg,motion_blur,2,15.0,25.731264668762496,finetuned,0.5,0.3333333333333333,0.4
00dc5030-237e7f71.jpg,motion_blur,3,21.0,24.538922988447087,baseline,1.0,0.3333333333333333,0.5
00dc5030-237e7f71.jpg,motion_blur,3,21.0,24.538922988447087,finetuned,0.5,0.3333333333333333,0.4
00dc5030-237e7f71.jpg,motion_blur,4,31.0,23.420531520463882,baseline,1.0,0.3333333333333333,0.5
00dc5030-237e7f71.jpg,motion_blur,4,31.0,23.420531520463882,finetuned,0.5,0.3333333333333333,0.4
00de601c-858a8a8d.jpg,compression,0,50.0,42.11534167510764,baseline,0.875,0.5384615384615384,0.6666666666666667
00de601c-858a8a8d.jpg,compression,0,50.0,42.11534167510764,finetuned,0.75,0.46153846153846156,0.5714285714285714
00de601c-858a8a8d.jpg,compression,1,30.0,38.45114766536487,baseline,0.5555555555555556,0.38461538461538464,0.4545454545454546
00de601c-858a8a8d.jpg,compression,1,30.0,38.45114766536487,finetuned,0.8,0.3076923076923077,0.4444444444444444
00de601c-858a8a8d.jpg,compression,2,15.0,34.5728837347706,baseline,0.3333333333333333,0.15384615384615385,0.21052631578947367
00de601c-858a8a8d.jpg,compression,2,15.0,34.5728837347706,finetuned,0.8,0.3076923076923077,0.4444444444444444
00de601c-858a8a8d.jpg,compression,3,8.0,29.960209253402258,baseline,0.75,0.46153846153846156,0.5714285714285714
00de601c-858a8a8d.jpg,compression,3,8.0,29.960209253402258,finetuned,1.0,0.5384615384615384,0.7000000000000001
00de601c-858a8a8d.jpg,compression,4,3.0,25.861349744701535,baseline,0.8333333333333334,0.38461538461538464,0.5263157894736842
00de601c-858a8a8d.jpg,compression,4,3.0,25.861349744701535,finetuned,1.0,0.38461538461538464,0.5555555555555556
00de601c-858a8a8d.jpg,lowlight,0,-0.2,14.093331790604317,baseline,0.4444444444444444,0.3076923076923077,0.3636363636363637
00de601c-858a8a8d.jpg,lowlight,0,-0.2,14.093331790604317,finetuned,0.8571428571428571,0.46153846153846156,0.6
00de601c-858a8a8d.jpg,lowlight,1,-0.4,8.909832507994153,baseline,1.0,0.46153846153846156,0.631578947368421
00de601c-858a8a8d.jpg,lowlight,1,-0.4,8.909832507994153,finetuned,1.0,0.15384615384615385,0.2666666666666667
00de601c-858a8a8d.jpg,lowlight,2,-0.6,6.271054767533453,baseline,0.6666666666666666,0.15384615384615385,0.25
00de601c-858a8a8d.jpg,lowlight,2,-0.6,6.271054767533453,finetuned,0.6666666666666666,0.15384615384615385,0.25
00de601c-858a8a8d.jpg,lowlight,3,-0.75,4.669189872914582,baseline,0.0,0.0,0.0
00de601c-858a8a8d.jpg,lowlight,3,-0.75,4.669189872914582,finetuned,0.0,0.0,0.0
00de601c-858a8a8d.jpg,lowlight,4,-0.9,3.719465123074163,baseline,0.0,0.0,0.0
00de601c-858a8a8d.jpg,lowlight,4,-0.9,3.719465123074163,finetuned,0.0,0.0,0.0
00de601c-858a8a8d.jpg,motion_blur,0,5.0,38.906005011242584,baseline,1.0,0.5384615384615384,0.7000000000000001
00de601c-858a8a8d.jpg,motion_blur,0,5.0,38.906005011242584,finetuned,0.8571428571428571,0.46153846153846156,0.6
00de601c-858a8a8d.jpg,motion_blur,1,9.0,35.10526875847723,baseline,1.0,0.6153846153846154,0.761904761904762
00de601c-858a8a8d.jpg,motion_blur,1,9.0,35.10526875847723,finetuned,1.0,0.5384615384615384,0.7000000000000001
00de601c-858a8a8d.jpg,motion_blur,2,15.0,32.579574200696854,baseline,1.0,0.5384615384615384,0.7000000000000001
00de601c-858a8a8d.jpg,motion_blur,2,15.0,32.579574200696854,finetuned,0.8333333333333334,0.38461538461538464,0.5263157894736842
00de601c-858a8a8d.jpg,motion_blur,3,21.0,31.059193395601575,baseline,1.0,0.38461538461538464,0.5555555555555556
00de601c-858a8a8d.jpg,motion_blur,3,21.0,31.059193395601575,finetuned,1.0,0.3076923076923077,0.47058823529411764
00de601c-858a8a8d.jpg,motion_blur,4,31.0,29.467378806256388,baseline,1.0,0.15384615384615385,0.2666666666666667
00de601c-858a8a8d.jpg,motion_blur,4,31.0,29.467378806256388,finetuned,1.0,0.3076923076923077,0.47058823529411764
00de601c-cfa2404b.jpg,compression,0,50.0,41.14723023060364,baseline,1.0,0.2,0.33333333333333337
00de601c-cfa2404b.jpg,compression,0,50.0,41.14723023060364,finetuned,0.25,0.2,0.22222222222222224
00de601c-cfa2404b.jpg,compression,1,30.0,37.390809218737346,baseline,1.0,0.2,0.33333333333333337
00de601c-cfa2404b.jpg,compression,1,30.0,37.390809218737346,finetuned,0.16666666666666666,0.2,0.1818181818181818
00de601c-cfa2404b.jpg,compression,2,15.0,33.35133614301413,baseline,1.0,0.2,0.33333333333333337
00de601c-cfa2404b.jpg,compression,2,15.0,33.35133614301413,finetuned,0.4,0.4,0.4000000000000001
00de601c-cfa2404b.jpg,compression,3,8.0,29.53079446367419,baseline,1.0,0.2,0.33333333333333337
00de601c-cfa2404b.jpg,compression,3,8.0,29.53079446367419,finetuned,0.3333333333333333,0.2,0.25
00de601c-cfa2404b.jpg,compression,4,3.0,24.763225077624394,baseline,1.0,0.2,0.33333333333333337
00de601c-cfa2404b.jpg,compression,4,3.0,24.763225077624394,finetuned,0.5,0.2,0.28571428571428575
00de601c-cfa2404b.jpg,lowlight,0,-0.2,14.518647379946561,baseline,0.5,0.2,0.28571428571428575
00de601c-cfa2404b.jpg,lowlight,0,-0.2,14.518647379946561,finetuned,0.1111111111111111,0.2,0.14285714285714285
00de601c-cfa2404b.jpg,lowlight,1,-0.4,9.682888112612993,baseline,0.5,0.2,0.28571428571428575
00de601c-cfa2404b.jpg,lowlight,1,-0.4,9.682888112612993,finetuned,0.5,0.2,0.28571428571428575
00de601c-cfa2404b.jpg,lowlight,2,-0.6,7.687900712014782,baseline,0.0,0.0,0.0
00de601c-cfa2404b.jpg,lowlight,2,-0.6,7.687900712014782,finetuned,0.0,0.0,0.0
