image,level,kernel,method,psnr,stripe_score,edge_iou,line_iou,det_f1
0000f77c-6257be58.jpg,0,5,distorted,33.06503738230548,0.9444917937792664,0.7452317797145384,0.5408471948362742,0.75
0000f77c-6257be58.jpg,0,5,wiener_fixed,35.107987358290856,1.1124393276201965,0.8345210692987473,0.6181798194720963,0.75
0000f77c-6257be58.jpg,0,5,wiener_tuned,35.107987358290856,1.1124393276201965,0.8345210692987473,0.6181798194720963,0.75
0000f77c-6257be58.jpg,0,5,richardson_lucy,32.892947058026195,3.3582123351559487,0.7698709965681475,0.5453838825531847,0.75
0000f77c-6257be58.jpg,1,9,distorted,29.29392358465394,0.7880491380822368,0.5919448962020473,0.4496229369142018,0.8
0000f77c-6257be58.jpg,1,9,wiener_fixed,30.266005048882107,1.0675858837623635,0.728644343988903,0.535794481160898,0.75
0000f77c-6257be58.jpg,1,9,wiener_tuned,30.7520392354523,1.0198466535559243,0.7044477520870506,0.5251914057723485,0.75
0000f77c-6257be58.jpg,1,9,richardson_lucy,29.48133841818776,2.6440576321318483,0.6330074739529943,0.4804942921409803,0.888888888888889
0000f77c-6257be58.jpg,2,15,distorted,26.66021113445504,0.6318191790843705,0.4547822263851587,0.3632540517785729,0.5714285714285715
0000f77c-6257be58.jpg,2,15,wiener_fixed,24.86816320284223,1.0571861322306306,0.6298223702470164,0.4665840162688413,0.6666666666666665
0000f77c-6257be58.jpg,2,15,wiener_tuned,27.42741065657928,0.8842050185375039,0.5446101050386069,0.4059664776348424,0.6
0000f77c-6257be58.jpg,2,15,richardson_lucy,26.748933026043936,2.0960601051030463,0.5208875528277641,0.4275405334464029,0.5714285714285715
0000f77c-6257be58.jpg,3,21,distorted,25.02194014512892,0.5295372270696209,0.3649997843102481,0.3416917701436919,0.5714285714285715
0000f77c-6257be58.jpg,3,21,wiener_fixed,21.24309014699932,1.060532928252177,0.5756049705689994,0.4336570731375792,0.0
0000f77c-6257be58.jpg,3,21,wiener_tuned,25.40370626381496,0.8367953743988795,0.4569402791662038,0.3796536619314692,0.6666666666666665
0000f77c-6257be58.jpg,3,21,richardson_lucy,25.138211695016707,1.7873822471220244,0.4320089691084632,0.3570999463759409,0.5714285714285715
0000f77c-6257be58.jpg,4,31,distorted,23.30962671195876,0.4065872325848637,0.2790009890247064,0.2528435211987059,0.5714285714285715
0000f77c-6257be58.jpg,4,31,wiener_fixed,15.851273437673514,1.1823418050891776,0.4712199523356511,0.3917530304823412,0.0
0000f77c-6257be58.jpg,4,31,wiener_tuned,23.078388730273826,0.756637000996567,0.3094495348674547,0.2606727417797002,0.0
0000f77c-6257be58.jpg,4,31,richardson_lucy,23.366826818735586,1.4734634259145571,0.3421746192988451,0.3277490657872801,0.2857142857142857
